candidate_id,title,authors,year,venue,url,doi_or_id,discovery_search_ids,existing_citation_key,paper_id,decision,decision_rationale,confidence
C014,Improving Multilingual Retrieval-Augmented Language Models through Dialectic Reasoning Argumentations,Ranaldi et al.,2025,EMNLP,https://aclanthology.org/2025.emnlp-main.461/,10.18653/v1/2025.emnlp-main.461,C1|C2,,P096,new_core,D-RAG retrieves multilingual documents and generates under query-language constraints,high
C015,Fanar-Sadiq: A Multi-Agent Architecture for Grounded Islamic QA,Abbas et al.,2026,arXiv,https://arxiv.org/abs/2603.08501,arXiv:2603.08501,Q3|Q8,,P097,new_adjacent,Bilingual support is explicit but required query-evidence mismatch is not demonstrated,medium
C016,Automated Evidence Extraction and Scoring for Corporate Climate Policy Engagement: A Multilingual RAG Approach,Kolli et al.,2025,arXiv,https://arxiv.org/abs/2509.08907,arXiv:2509.08907,Q3|Q8,,P098,new_adjacent,Multilingual documents are evaluated without an explicit cross-language inference requirement,medium
C017,Bridging the Language Gap: Dynamic Learning Strategies for Improving Multilingual Performance in LLMs,Kumar et al.,2025,COLING,https://aclanthology.org/2025.coling-main.619/,,Q3|Q8,,P099,new_adjacent,Direct multilingual RAG configurations but no required query-evidence language mismatch,medium
C018,XProvence: Zero-Cost Multilingual Context Pruning for Retrieval-Augmented Generation,Mohamed et al.,2026,arXiv,https://arxiv.org/abs/2601.18886,arXiv:2601.18886,Q3|Q8,,P100,new_adjacent,End-to-end multilingual pruning study in same-language benchmark configurations,medium
C019,IRSC: A Zero-shot Evaluation Benchmark for Information Retrieval through Semantic Comprehension in Retrieval-Augmented Generation Scenarios,Lin et al.,2024,arXiv,https://arxiv.org/abs/2409.15763,arXiv:2409.15763,Q3|Q6,,P101,new_component,Retriever benchmark without end-to-end answer generation,high
C020,CORAL: Adaptive Retrieval Loop for Culturally-Aligned Multilingual RAG,Lee et al.,2026,ACL-Findings,https://arxiv.org/abs/2604.25676,arXiv:2604.25676,Q2|Q8,,,exclude,Published after the March 2026 cutoff,high
C021,All Languages Matter: Understanding and Mitigating Language Bias in Multilingual RAG,Wang et al.,2026,arXiv,https://arxiv.org/abs/2604.20199,arXiv:2604.20199,Q2|Q6,,,exclude,Published after the March 2026 cutoff,high
C022,CroSearch-R1: Better Leveraging Cross-lingual Knowledge for Retrieval-Augmented Generation,Qi et al.,2026,arXiv,https://arxiv.org/abs/2604.25182,arXiv:2604.25182,Q1|Q2,,,exclude,Published after the March 2026 cutoff,high
C023,CONCAP: Seeing Beyond English with Concepts Retrieval-Augmented Captioning,Unknown,2025,arXiv,https://arxiv.org/abs/2507.20411,arXiv:2507.20411,Q3|Q8,,,exclude,Retrieval-augmented captioning falls outside the RAG and open-retrieval QA boundary,high
C024,XEmoRAG: Cross-Lingual Emotion Transfer with Controllable Intensity Using Retrieval-Augmented Generation,Unknown,2025,arXiv,https://arxiv.org/abs/2508.07302,arXiv:2508.07302,Q1|Q3,,,exclude,Cross-lingual emotion transfer is outside the knowledge-intensive RAG and open-retrieval QA boundary,high
C025,Enhancing E-commerce Product Title Translation with Retrieval-Augmented Generation and Large Language Models,Unknown,2024,arXiv,https://arxiv.org/abs/2409.12880,arXiv:2409.12880,Q3,,,exclude,Standalone machine translation application excluded by protocol,high
C026,Cross-Lingual QA as a Stepping Stone for Monolingual Open QA in Icelandic,Snæbjarnarson & Einarsson,2022,MIA,https://aclanthology.org/2022.mia-1.4/,10.18653/v1/2022.mia-1.4,Q9|C4,,P102,new_core,Bilingual Icelandic-English open-domain QA performs cross-language retrieval and answering,high
C027,Ask Me Anything in Your Native Language,Sorokin et al.,2022,NAACL,https://aclanthology.org/2022.naacl-main.30/,10.18653/v1/2022.naacl-main.30,Q9|C4,,P103,new_core,Single multilingual retriever and cross-lingual generative reader form an end-to-end XOR-TyDi system,high
C028,Cross-Lingual Open-Domain Question Answering with Answer Sentence Generation,Muller et al.,2022,AACL-IJCNLP,https://aclanthology.org/2022.aacl-main.27/,10.18653/v1/2022.aacl-main.27,Q9|Q10|C4,,P104,new_core,Full-sentence answers are generated from passages that may differ in language from the question,high
C029,Addressing Issues of Cross-Linguality in Open-Retrieval Question Answering Systems For Emergent Domains,Albalak et al.,2023,EACL-Demos,https://aclanthology.org/2023.eacl-demo.1/,10.18653/v1/2023.eacl-demo.1,Q9|Q10|C4,,P105,new_core,Cross-lingual COVID-19 retrieval and reading system operates over multilingual scientific documents,high
C030,Pre-training Cross-lingual Open Domain Question Answering with Large-scale Synthetic Supervision,Jiang et al.,2024,EMNLP,https://aclanthology.org/2024.emnlp-main.770/,10.18653/v1/2024.emnlp-main.770,Q9|Q10|C4,,P106,new_core,CLASS jointly performs cross-lingual retrieval and answer generation in the query language,high
C031,Few-Shot Multilingual Open-Domain QA from Five Examples,Jiang et al.,2025,TACL,https://aclanthology.org/2025.tacl-1.24/,10.1162/tacl_a_00750,Q9|Q10|C4,,P107,new_core,FsModQA evaluates end-to-end multilingual QA with explicit cross-lingual retrieval,high
C032,EduX-RAG: Retrieval Augmented Generation Framework for Cross-Lingual Educational Chatbots,Medina et al.,2025,FLLM,https://doi.org/10.1109/FLLM67465.2025.11390969,10.1109/FLLM67465.2025.11390969,Q11|C4,,P108,new_core,Queries and educational materials may differ in language and the end-to-end system evaluates retrieval and response-language behavior,high
C033,VLR-Bench: Multilingual Benchmark Dataset for Vision-Language Retrieval Augmented Generation,Lim et al.,2025,COLING,https://aclanthology.org/2025.coling-main.411/,,Q12|C4,,P109,new_adjacent,Multilingual RAG benchmark uses native same-language English Chinese and Korean configurations,medium
C034,XQA: A Cross-lingual Open-domain Question Answering Dataset,Liu et al.,2019,ACL,https://aclanthology.org/P19-1227/,10.18653/v1/P19-1227,Q9|C4,,,exclude,Published before the January 2020 review window and logged as a historical predecessor,high
C035,Multilingual Rag Agents For Localized Knowledge: Adaptive Indexing For Under-Represented Languages,Ugwumba & Okechukwu,2026,Research Square,https://doi.org/10.21203/rs.3.rs-8714867/v1,10.21203/rs.3.rs-8714867/v1,Q11,,,exclude,Non-archival working paper outside the peer-reviewed proceedings journal and arXiv record set used for coding,medium
C036,Schema Retrieval with Embeddings and Vector Stores Using Retrieval-Augmented Generation and LLM-Based SQL Query Generation,Bozdemir & Bilgin,2026,Applied Sciences,https://doi.org/10.3390/app16020586,10.3390/app16020586,Q11,,,exclude,Text-to-SQL schema retrieval is outside the knowledge-intensive QA and RAG review boundary,high
C037,Towards Cross-Cultural Machine Translation with Retrieval-Augmented Generation from Multilingual Knowledge Graphs,Conia et al.,2024,EMNLP,https://aclanthology.org/2024.emnlp-main.914/,10.18653/v1/2024.emnlp-main.914,Q12,,,exclude,Standalone machine translation application excluded by protocol,high
