id,title,authors,year,venue,url,transfer_point,translation_strategy,resource_level,domain,citation_key,scope_confidence,scope_rationale,notes
P049,Enhancing Multilingual RAG with Debiased Language Preference-Guided Query Fusion,Park et al.,2026,arXiv,https://arxiv.org/abs/2601.02956,Retrieval|Generation,Hybrid,Mixed,Open,park2026delta,high,Multilingual RAG method explicitly combines cross-language query fusion,
P050,Multilingual RAG for Culturally Sensitive Tasks,Li et al.,2025,ACL-Findings,https://aclanthology.org/2025.findings-acl.219/,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,Cultural,li2025bordirlines,high,Cross-lingual RAG benchmark over multilingual evidence and query settings,
P063,Evaluating and Modeling Attribution for Cross-Lingual Question Answering,Muller et al.,2023,EMNLP,https://aclanthology.org/2023.emnlp-main.10/,Generation|Evaluation,Language-agnostic,Mixed,Open,muller2023xorattriqa,high,Cross-lingual open-retrieval QA attribution and evidence-language evaluation,
P077,MedExpQA: Multilingual Benchmarking of LLMs for Medical QA,Alonso et al.,2024,Artif. Intell. Med.,https://doi.org/10.1016/j.artmed.2024.102938,Retrieval|Generation|Evaluation,N/A,High,Medical,alonso2024medexpqa,medium,Non-English medical questions are answered with evidence retrieved directly from the English MedCorp collection,
P083,MaGiX: A Multi-Granular Adaptive Graph Intelligence Framework for Enhancing Cross-Lingual RAG,Hieu et al.,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.279/,Retrieval|Generation,Language-agnostic,Mixed,Open,hieu2025magix,high,English-Vietnamese graph RAG requires cross-lingual retrieval and grounded answer generation,Added by the June 5 coverage update (candidate C001; discovered under Q1|Q2|Q3).
P084,The Cross-Lingual Cost: Retrieval Biases in RAG over Arabic-English Corpora,Amiraz et al.,2025,ArabicNLP,https://aclanthology.org/2025.arabicnlp-main.6/,Retrieval|Generation,Hybrid,Mixed,Enterprise,amiraz2025cross,high,Arabic-English enterprise benchmarks include every query-document language combination and evaluate end-to-end RAG,Added by the June 5 coverage update (candidate C002; discovered under Q1|Q2|Q3|Q8).
P085,Quality-Aware Translation Tagging in Multilingual RAG system,Moon et al.,2025,MRL-WS@EMNLP,https://aclanthology.org/2025.mrl-main.12/,Retrieval|Generation,Hybrid,Mixed,Open,moon2025quality,high,QTT-RAG retrieves English evidence and translates it for generation in another query language,Added by the June 5 coverage update (candidate C003; discovered under Q2|Q3|Q8).
P086,On the Consistency of Multilingual Context Utilization in Retrieval-Augmented Generation,Qi et al.,2025,MRL-WS@EMNLP,https://aclanthology.org/2025.mrl-main.15/,Generation|Evaluation,N/A,Mixed,Open,qi2025context,high,Directly evaluates answer generation and language control when supplied evidence differs from the query language,Controlled cross-language context analysis; retrieval quality is held fixed.
P087,ZusammenQA: Data Augmentation with Specialized Models for Cross-lingual Open-retrieval Question Answering System,Hung et al.,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.8/,Retrieval|Generation,Language-agnostic,Mixed,Open,hung2022zusammenqa,high,Complete MIA cross-lingual open-retrieval QA system; distinct system paper sharing the P044 benchmark,MIA system paper; shares benchmark data with P044.
P088,Zero-shot cross-lingual open domain question answering,Agarwal et al.,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.9/,Retrieval|Generation,Language-agnostic,Mixed,Open,agarwal2022zeroshot,high,Complete MIA cross-lingual open-domain QA system; distinct system paper sharing the P044 benchmark,MIA system paper; shares benchmark data with P044.
P089,"MIA 2022 Shared Task Submission: Leveraging Entity Representations, Dense-Sparse Hybrids, and Fusion-in-Decoder for Cross-Lingual Question Answering",Tu & Padmanabhan,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.10/,Retrieval|Generation,Language-agnostic,Mixed,Open,tu2022mia,high,Complete MIA cross-lingual open-retrieval QA system; distinct system paper sharing the P044 benchmark,MIA system paper; shares benchmark data with P044.
P090,Cost-Efficient Cross-Lingual Retrieval-Augmented Generation for Low-Resource Languages: A Case Study in Bengali Agricultural Advisory,Hossain et al.,2026,arXiv,https://arxiv.org/abs/2601.02065,Retrieval|Generation,Translate-then-retrieve,Low,Agriculture,hossain2026bengali,medium,Bengali queries are translated for retrieval over English manuals and answers are returned in Bengali,Translation-first query processing and Bengali output translation; limited quantitative evaluation.
P091,Agri-Query: A Case Study on RAG vs. Long-Context LLMs for Cross-Lingual Technical Question Answering,Gun & Oksanen,2026,TUM Technical Report,https://arxiv.org/abs/2508.18093,Retrieval|Generation|Evaluation,Language-agnostic,High,Agriculture,gun2026agriquery,high,English questions are answered from French and German technical manuals in an explicit cross-lingual RAG evaluation,English questions are evaluated against English French and German manuals.
P092,M4-RAG: A Massive-Scale Multilingual Multi-Cultural Multimodal RAG,Anugraha et al.,2026,CVPR,https://arxiv.org/abs/2512.05959,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,Cultural,anugraha2026m4rag,high,Multimodal RAG benchmark explicitly varies query and retrieved-context languages within an inference instance,Explicit cross-lingual prompt and evidence-language evaluation in multimodal RAG.
P093,Not All Languages are Equal: Insights into Multilingual Retrieval-Augmented Generation,Wu et al.,2025,AAAI,https://arxiv.org/abs/2410.21970,Retrieval|Generation|Evaluation,N/A,Mixed,Open,wu2025notall,high,Futurepedia directly benchmarks cross-lingual knowledge transfer with documents and QA pairs in different languages,Futurepedia includes cross-lingual knowledge-transfer and multilingual selection tasks.
P094,Linguistic Nepotism: Trading-off Quality for Language Preference in Multilingual RAG,Ki et al.,2025,arXiv,https://arxiv.org/abs/2509.13930,Generation|Evaluation,N/A,Mixed,Open,ki2025linguistic,high,Controlled multilingual RAG study directly varies query and evidence languages and measures citation behavior,Controlled multilingual evidence and citation-language analysis with retrieval held fixed.
P095,DaPT: A Dual-Path Framework for Multilingual Multi-hop Question Answering,Wang et al.,2026,ICASSP,https://arxiv.org/abs/2603.19097,Retrieval|Generation,Hybrid,Mixed,Open,wang2026dapt,high,DaPT uses source-language and English query paths with bilingual retrieval and answer generation,Parallel source-language and English query paths with bilingual retrieval and answering.
P096,Improving Multilingual Retrieval-Augmented Language Models through Dialectic Reasoning Argumentations,Ranaldi et al.,2025,EMNLP,https://aclanthology.org/2025.emnlp-main.461/,Retrieval|Generation,Language-agnostic,Mixed,Open,ranaldi2025drag,high,D-RAG retrieves multilingual evidence and generates answers under query-language constraints,D-RAG reasons over multilingual retrieved documents and preserves query-language output constraints.
P102,Cross-Lingual QA as a Stepping Stone for Monolingual Open QA in Icelandic,Snæbjarnarson & Einarsson,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.4/,Retrieval|Generation,Language-agnostic,Low,Open,snaebjarnarson2022cross,high,Icelandic questions are matched to English contexts in an end-to-end bilingual open-domain QA system,Bilingual Icelandic-English open-domain QA with cross-language question-context retrieval. Added by the June 5 terminology-expansion search (candidate C026; discovered under Q9|C4).
P103,Ask Me Anything in Your Native Language,Sorokin et al.,2022,NAACL,https://aclanthology.org/2022.naacl-main.30/,Retrieval|Generation,Language-agnostic,Mixed,Open,sorokin2022ask,high,End-to-end XOR-TyDi system combines multilingual retrieval with a cross-lingual generative reader,Single multilingual retriever and cross-lingual generative reader evaluated on XOR-TyDi. Added by the June 5 terminology-expansion search (candidate C027; discovered under Q9|C4).
P104,Cross-Lingual Open-Domain Question Answering with Answer Sentence Generation,Muller et al.,2022,AACL-IJCNLP,https://aclanthology.org/2022.aacl-main.27/,Retrieval|Generation,Hybrid,Mixed,Open,muller2022crossgenqa,high,Generative open-domain QA explicitly answers from passages written in languages different from the question,Generates full-sentence answers from passages that may differ in language from the question. Added by the June 5 terminology-expansion search (candidate C028; discovered under Q9|Q10|C4).
P105,Addressing Issues of Cross-Linguality in Open-Retrieval Question Answering Systems For Emergent Domains,Albalak et al.,2023,EACL-Demos,https://aclanthology.org/2023.eacl-demo.1/,Retrieval|Generation,Language-agnostic,Mixed,Medical,albalak2023emergent,high,COVID-19 system retrieves and extracts answers across languages and translates non-English results for presentation,Cross-lingual COVID-19 retrieval and reading with translated presentation of retrieved answers. Added by the June 5 terminology-expansion search (candidate C029; discovered under Q9|Q10|C4).
P106,Pre-training Cross-lingual Open Domain Question Answering with Large-scale Synthetic Supervision,Jiang et al.,2024,EMNLP,https://aclanthology.org/2024.emnlp-main.770/,Retrieval|Generation,Language-agnostic,Mixed,Open,jiang2024class,high,CLASS jointly trains cross-lingual retrieval and query-language answer generation,CLASS jointly performs cross-lingual retrieval and answer generation in the query language. Added by the June 5 terminology-expansion search (candidate C030; discovered under Q9|Q10|C4).
P107,Few-Shot Multilingual Open-Domain QA from Five Examples,Jiang et al.,2025,TACL,https://aclanthology.org/2025.tacl-1.24/,Retrieval|Generation,Language-agnostic,Mixed,Open,jiang2025fsmodqa,high,FsModQA reports end-to-end multilingual QA with explicit cross-lingual retrieval conditions,FsModQA evaluates end-to-end multilingual QA with both cross-lingual and monolingual retrieval. Added by the June 5 terminology-expansion search (candidate C031; discovered under Q9|Q10|C4).
P108,EduX-RAG: Retrieval Augmented Generation Framework for Cross-Lingual Educational Chatbots,Medina et al.,2025,FLLM,https://doi.org/10.1109/FLLM67465.2025.11390969,Retrieval|Generation|Evaluation,N/A,Mixed,Education,medina2025eduxrag,high,Educational chatbot retrieves materials across query-content language mismatches and controls response language,Queries and educational materials may differ in language; the system combines translation multilingual embeddings and response-language control. Added by the June 5 terminology-expansion search (candidate C032; discovered under Q11|C4).
P110,A Comprehensive Evaluation of Embedding Models and LLMs for IR and QA Across English and Italian,Oro et al.,2025,Big Data and Cognitive Computing,https://doi.org/10.3390/bdcc9050141,Retrieval|Generation|Evaluation,Language-agnostic,High,Open,oro2025evaluation,high,NarrativeQA-Cross-Lingual keeps documents in English while translating question-answer pairs into Italian within an end-to-end RAG evaluation,English documents with Italian queries create an explicit cross-lingual RAG condition; the study also evaluates retrieval groundedness and answer relevance.
P111,A multi-granularity semantic space learning approach for cross-lingual open domain question answering,Li et al.,2021,World Wide Web,https://doi.org/10.1007/s11280-021-00879-2,Retrieval|Generation,Language-agnostic,High,Open,li2021multigranularity,high,The proposed system jointly performs cross-lingual document retrieval and answer extraction without an additional runtime transformation,Unified multilingual-BERT retrieval and answer extraction are evaluated on cross-lingual open-QA datasets without runtime translation.
P112,Benchmarking Open-Source Large Language Models on Code-Switched Tagalog-English Retrieval Augmented Generation,Adoptante et al.,2025,Journal of Advances in Information Technology,https://doi.org/10.12720/jait.16.2.233-242,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,Open,adoptante2025codeswitched,high,English Tagalog and Taglish query groups are evaluated irrespective of the source-document language in an end-to-end RAG pipeline,English Tagalog and Taglish queries are paired with source documents independently of document language and evaluated with retrieval and grounding metrics.
P113,CLOR-QA: Cross-Lingual Open-Retrieval Question Answering Model with Dynamic Database Integration,Khetarpaul et al.,2025,iiWAS,https://doi.org/10.1007/978-3-031-78090-5_2,Retrieval|Generation,N/A,Mixed,Open,khetarpaul2025clorqa,high,CLOR-QA explicitly retrieves multilingual data in languages different from the query and returns answers through an integrated QA system,The system retrieves data in languages different from the query and combines Helsinki-NLP translation with language-specific BERT QA models.
P115,M3-RAG: Unified Multimodal and Multilingual Retrieval-Augmented Generation,Xu et al.,2025,ICCEA,https://doi.org/10.1109/ICCEA65460.2025.11102259,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,Cultural,xu2025m3rag,medium,M3-RAG combines multilingual text retrieval cross-lingual image retrieval and language-conditioned generation across 12 languages,Cross-lingual text and image retrieval feed language-contextualized generation and a multilingual culturally annotated benchmark.
P116,Multilingual Open QA on the MIA Shared Task,Yarrabelly et al.,2025,arXiv,https://arxiv.org/abs/2501.04153,Retrieval|Generation,Language-agnostic,Mixed,Open,yarrabelly2025mia,high,The MIA system reranks passages that may be in a different language from the question before multilingual answer generation,A multilingual reranker scores passages that may differ from the question language before query-language answer generation in the MIA pipeline.
P117,Retrieval-Augmented Multilingual Citation Generation,Liang et al.,2025,ICASSP,https://doi.org/10.1109/ICASSP49660.2025.10888712,Retrieval|Generation|Evaluation,N/A,Mixed,Open,liang2025ramcg,high,RAMCG retrieves cross-lingual evidence from a multilingual knowledge base and uses it for multilingual citation generation,A multilingual retriever selects cross-lingual evidence for citation generation and the study evaluates citation quality across multilingual settings.
