id,title,authors,year,venue,url,scope_label,transfer_point,translation_strategy,resource_level,domain,citation_key,notes
P020,AfriQA: Cross-lingual Open-Retrieval QA for African Languages,Ogundepo et al.,2023,EMNLP-Findings,https://aclanthology.org/2023.findings-emnlp.997/,Core,Retrieval|Generation,Hybrid,Low,Open,ogundepo2023afriqa,
P021,mRAKL: Multilingual Retrieval-Augmented Knowledge Graph Construction for Low-Resourced Languages,Nigatu et al.,2025,ACL-Findings,https://aclanthology.org/2025.findings-acl.678/,Core,Retrieval|Generation,Language-agnostic,Low,Open,mrakl2025,
P022,Multilingual E5 Text Embeddings,Wang et al.,2024,arXiv,https://arxiv.org/abs/2402.05672,Component,Retrieval,N/A,Mixed,Open,wang2024multilingual,
P023,Omnilingual SONAR: Cross-Lingual and Cross-Modal Sentence Embeddings,Janeiro et al.,2026,arXiv,https://arxiv.org/abs/2603.16606,Component,Retrieval,N/A,Mixed,Open,duquenne2026omnilingual,
P024,Investigating Language Preference of Multilingual RAG Systems,Park & Lee,2025,ACL-Findings,https://arxiv.org/abs/2502.11175,Core,Retrieval|Generation,Hybrid,Mixed,Open,park2025langpref,
P025,SONAR: Sentence-Level Multimodal and Language-Agnostic Representations,Duquenne et al.,2023,arXiv,https://arxiv.org/abs/2308.11466,Component,Retrieval,N/A,Mixed,Open,duquenne2023sonar,
P026,LaBSE: Language-Agnostic BERT Sentence Embedding,Feng et al.,2022,ACL,https://aclanthology.org/2022.acl-long.62/,Component,Retrieval,N/A,Mixed,Open,feng2022language,
P027,Jina-ColBERT-v2: A General-Purpose Multilingual Late Interaction Retriever,Jha et al.,2024,MRL-WS@EMNLP,https://aclanthology.org/2024.mrl-1.11/,Component,Retrieval,N/A,Mixed,Open,jha2024jina,
P028,ColBERT-XM: A Modular Multi-Vector Representation Model for Zero-Shot Multilingual IR,Louis et al.,2025,COLING,https://aclanthology.org/2025.coling-main.295/,Component,Retrieval,N/A,Mixed,Open,louis2025colbertxm,
P029,mGTE: Generalized Long-Context Text Representation and Reranking for Multilingual Retrieval,Zhang et al.,2024,EMNLP-Industry,https://aclanthology.org/2024.emnlp-industry.103/,Component,Retrieval,N/A,Mixed,Open,zhang2024mgte,
P030,mMARCO: A Multilingual Version of the MS MARCO Passage Ranking Dataset,Bonifacio et al.,2022,arXiv,https://arxiv.org/abs/2108.13897,Component,Retrieval,N/A,Mixed,Open,bonifacio2022mmarco,
P031,XOR QA: Cross-lingual Open-Retrieval Question Answering,Asai et al.,2021,NAACL,https://aclanthology.org/2021.naacl-main.46/,Core,Retrieval|Generation,Hybrid,Mixed,Open,asai2021xor,
P032,MKQA: A Linguistically Diverse Benchmark for Multilingual Open Domain QA,Longpre et al.,2021,TACL,https://doi.org/10.1162/tacl_a_00433,Component,Retrieval|Generation,N/A,Mixed,Open,longpre2021mkqa,
P033,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Asai et al.,2024,ICLR,https://arxiv.org/abs/2310.11511,Background,Retrieval|Generation,N/A,High,Open,asai2024selfrag,
P034,NoMIRACL: Knowing When You Don't Know for Robust Multilingual RAG,Thakur et al.,2024,EMNLP-Findings,https://aclanthology.org/2024.findings-emnlp.730/,Adjacent,Retrieval|Generation|Evaluation,N/A,Mixed,Open,thakur2024nomiracl,
P035,MIRAGE-Bench: Automatic Multilingual Benchmark Arena for RAG Systems,Thakur et al.,2025,NAACL,https://aclanthology.org/2025.naacl-long.14/,Adjacent,Generation|Evaluation,N/A,Mixed,Open,thakur2025miragebench,
P036,M-Prometheus: A Suite of Open Multilingual LLM Judges,Pombal et al.,2025,COLM,https://openreview.net/forum?id=Atyk8lnIQQ,Component,Evaluation,N/A,Mixed,General,pombal2025mprometheus,
P037,Cross-Lingual Auto Evaluation for Assessing Multilingual LLMs (CIA Suite),Doddapaneni et al.,2025,ACL,https://aclanthology.org/2025.acl-long.1419/,Component,Evaluation,N/A,Mixed,General,doddapaneni2025cia,
P038,Best Practices for Multilingual Dense Retrieval,Zhang et al.,2023,TOIS,https://doi.org/10.1145/3613447,Component,Retrieval,N/A,Mixed,Open,zhang2023bestpractices,
P039,Towards General Text Embeddings with Multi-stage Contrastive Learning (GTE),Li et al.,2023,arXiv,https://arxiv.org/abs/2308.03281,Component,Retrieval,N/A,High,Open,li2023towards,V4: re-added from background to align with manuscript citation in §5.1.
P040,Improving Text Embeddings with LLMs (E5-Mistral),Wang et al.,2024,ACL,https://aclanthology.org/2024.acl-long.642/,Component,Retrieval,N/A,Mixed,Open,wang2024improving,
P041,Unsupervised Dense Information Retrieval with Contrastive Learning (mContriever),Izacard et al.,2022,TMLR,https://openreview.net/forum?id=jKN1pXi7b0,Component,Retrieval,N/A,Mixed,Open,izacard2022unsupervised,
P042,Mr.TyDi: A Multi-lingual Benchmark for Dense Retrieval,Zhang et al.,2021,MRL-WS@EMNLP,https://aclanthology.org/2021.mrl-1.12/,Component,Retrieval,N/A,Mixed,Open,zhang2021mrtydi,
P043,MLQA: Evaluating Cross-lingual Extractive Question Answering,Lewis et al.,2020,ACL,https://aclanthology.org/2020.acl-main.653/,Component,Retrieval|Generation,N/A,Mixed,Open,lewis2020mlqa,
P044,MIA Shared Task on Cross-lingual Open-Retrieval Question Answering,Asai et al.,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.11/,Core,Retrieval|Generation,N/A,Mixed,Open,asai2022mia,
P045,CLIRMatrix: A Massively Large Collection of Bilingual and Multilingual Datasets for CLIR,Sun & Duh,2020,EMNLP,https://aclanthology.org/2020.emnlp-main.340/,Component,Retrieval,N/A,Mixed,Open,sun2020clirmatrix,
P046,HC4: A New Suite of Test Collections for Ad Hoc CLIR,Lawrie et al.,2022,ECIR,https://doi.org/10.1007/978-3-030-99736-6_24,Component,Retrieval,N/A,High,News,lawrie2022hc4,
P047,CRUD-RAG: A Comprehensive Chinese RAG Benchmark,Lyu et al.,2024,TOIS,https://doi.org/10.1145/3701228,Adjacent,Retrieval|Generation|Evaluation,N/A,High,General,lyu2024crudrag,
P048,Cross-lingual Training of Dense Retrievers,Shi et al.,2021,MRL-WS@EMNLP,https://aclanthology.org/2021.mrl-1.24/,Component,Retrieval,N/A,Mixed,Open,shi2021learning,
P049,Enhancing Multilingual RAG with Debiased Language Preference-Guided Query Fusion,Park et al.,2026,arXiv,https://arxiv.org/abs/2601.02956,Core,Retrieval|Generation,Hybrid,Mixed,Open,park2026delta,
P050,Multilingual RAG for Culturally Sensitive Tasks,Li et al.,2025,ACL-Findings,https://aclanthology.org/2025.findings-acl.219/,Core,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,Cultural,li2025bordirlines,
P051,Multilingual Instruction Tuning With Just a Pinch of Multilinguality,Shaham et al.,2024,ACL-Findings,https://aclanthology.org/2024.findings-acl.136/,Component,Generation,N/A,Mixed,General,shaham2024pinch,
P052,Multilingual Pretraining and Instruction Tuning Improve Cross-Lingual Knowledge Alignment but Only Shallowly,Gao et al.,2024,NAACL,https://aclanthology.org/2024.naacl-long.339/,Component,Generation,N/A,Mixed,General,gao2024shallow,
P053,BLOOM: A 176B-Parameter Open-Access Multilingual Language Model,BigScience Workshop,2022,arXiv,https://arxiv.org/abs/2211.05100,Component,Generation,N/A,Mixed,General,workshop2022bloom,V4: re-added from background to align with manuscript citation in §6.3.
P054,Aya Model: An Instruction Finetuned Open-Access Multilingual Language Model,Üstün et al.,2024,ACL,https://aclanthology.org/2024.acl-long.845/,Component,Generation,N/A,Mixed,General,ustun2024aya,
P055,Aya 23: Open Weight Releases to Further Multilingual Progress,Aryabumi et al.,2024,arXiv,https://arxiv.org/abs/2405.15032,Component,Generation,N/A,Mixed,General,aryabumi2024aya23,
P056,Eliciting In-Context Translation-Following Behavior in Multilingual LLMs,Ranaldi et al.,2024,ACL-Findings,https://aclanthology.org/2024.findings-acl.473/,Component,Generation,N/A,Mixed,General,ranaldi2024crossalpaca,
P057,Multilingual Summarization with Factual Consistency Evaluation,Aharoni et al.,2023,ACL-Findings,https://aclanthology.org/2023.findings-acl.220/,Component,Generation|Evaluation,N/A,Mixed,General,aharoni2023mface,
P058,Cross-Lingual Consistency of Factual Knowledge in Multilingual LLMs,Qi et al.,2023,EMNLP,https://aclanthology.org/2023.emnlp-main.658/,Component,Generation|Evaluation,N/A,Mixed,Open,qi2023crosslingual,
P059,FActScore: Fine-Grained Atomic Evaluation of Factual Precision in Long-Form Generation,Min et al.,2023,EMNLP,https://aclanthology.org/2023.emnlp-main.741/,Component,Evaluation,N/A,N/A,Open,min2023factscore,
P060,A Survey on Hallucination in Large Language Models,Huang et al.,2025,TOIS,https://doi.org/10.1145/3703155,Background,Generation|Evaluation,N/A,N/A,General,huang2025hallucination,
P061,CCHall: Cross-lingual Cross-modal Hallucination Benchmark,Zhang et al.,2025,ACL,https://aclanthology.org/2025.acl-long.1485/,Component,Generation|Evaluation,N/A,Mixed,General,cchall2025,
P062,Multilingual Fact-Checking with Large Language Models,Singhal et al.,2024,NLP4PI-WS@EMNLP,https://aclanthology.org/2024.nlp4pi-1.2/,Component,Retrieval|Evaluation,N/A,Mixed,News,singhal2024multilingual,
P063,Evaluating and Modeling Attribution for Cross-Lingual Question Answering,Muller et al.,2023,EMNLP,https://aclanthology.org/2023.emnlp-main.10/,Core,Generation|Evaluation,Language-agnostic,Mixed,Open,muller2023xorattriqa,
P064,μPLAN: Summarizing Using a Content Plan as Cross-Lingual Bridge,Huot et al.,2024,EACL,https://aclanthology.org/2024.eacl-long.131/,Component,Generation,Language-agnostic,Mixed,General,huot2023muplan,
P065,Cross-Lingual Summarization Faithfulness via Entailment,Zhang & Perez-Beltrachini,2024,ACL-Findings,https://aclanthology.org/2024.findings-acl.862/,Component,Generation|Evaluation,N/A,Mixed,General,leveragingentailment2024,
P066,chrF: Character n-gram F-score for Automatic MT Evaluation,Popović,2015,WMT,https://aclanthology.org/W15-3049/,Component,Evaluation,N/A,N/A,General,popovic2015chrf,
P067,BERTScore: Evaluating Text Generation with BERT,Zhang et al.,2020,ICLR,https://openreview.net/forum?id=SkeHuCVFDr,Component,Evaluation,N/A,N/A,General,zhang2020bertscore,
P068,COMET: A Neural Framework for MT Evaluation,Rei et al.,2020,EMNLP,https://aclanthology.org/2020.emnlp-main.213/,Component,Evaluation,N/A,N/A,General,rei2020comet,
P069,BLEURT: Learning Robust Metrics for Text Generation,Sellam et al.,2020,ACL,https://aclanthology.org/2020.acl-main.704/,Component,Evaluation,N/A,N/A,General,sellam2020bleurt,
P070,UniTE: Unified Translation Evaluation,Wan et al.,2022,ACL,https://aclanthology.org/2022.acl-long.558/,Component,Evaluation,N/A,N/A,General,wan2022unite,
P071,Cross-Lingual Stability of LLM Judges Under Controlled Generation: Evidence from Finno-Ugric Languages,Chung & Freienthal,2026,MME-WS@EACL,https://aclanthology.org/2026.mme-main.8/,Component,Evaluation,N/A,Low,General,chung2026crosslingual,
P072,MEGA: Multilingual Evaluation of Generative AI,Ahuja et al.,2023,EMNLP,https://aclanthology.org/2023.emnlp-main.258/,Component,Generation|Evaluation,N/A,Mixed,General,ahuja2023mega,
P073,Cross-Lingual LLM-Judge Transfer via Evaluation Decomposition,Sheth et al.,2026,arXiv,https://arxiv.org/abs/2603.18557,Component,Evaluation,N/A,Mixed,General,sheth2026crosslingual,
P074,Better to Ask in English: Cross-Lingual Evaluation of Large Language Models for Healthcare Queries,Jin et al.,2024,WWW,https://doi.org/10.1145/3589334.3645643,Component,Generation|Evaluation,N/A,Mixed,Medical,xlinghealth2024,
P075,LegalRAG: A Hybrid RAG System for Multilingual Legal Information Retrieval,Kabir et al.,2025,IJCNN,https://doi.org/10.1109/IJCNN64981.2025.11228374,Adjacent,Retrieval|Generation,Language-agnostic,Low,Legal,kabir2025legalrag,Bangla queries retrieve from bilingual gazettes through shared multilingual BGE-M3 embeddings without runtime translation.
P076,LexRAG: Benchmarking Retrieval-Augmented Generation in Multi-Turn Legal Consultation,Li et al.,2025,SIGIR,https://doi.org/10.1145/3726302.3730340,Adjacent,Retrieval|Generation|Evaluation,N/A,High,Legal,li2025lexrag,
P077,MedExpQA: Multilingual Benchmarking of LLMs for Medical QA,Alonso et al.,2024,Artif. Intell. Med.,https://doi.org/10.1016/j.artmed.2024.102938,Core,Retrieval|Generation|Evaluation,N/A,High,Medical,alonso2024medexpqa,
P078,Towards Building Multilingual Language Models for Medicine,Qiu et al.,2024,Nature Communications,https://doi.org/10.1038/s41467-024-52417-z,Component,Generation,N/A,Mixed,Medical,qiu2024mmedllama,
P079,Multi-OphthaLingua: A Multilingual Benchmark for Ophthalmology QA,Restrepo et al.,2025,AAAI,https://doi.org/10.1609/aaai.v39i27.35053,Component,Generation|Evaluation,N/A,Low,Medical,multiophthalingua2024,Multilingual ophthalmology benchmark without a retrieval stage or attributable runtime retrieval strategy.
P080,Rationale-Guided Retrieval-Augmented Generation for Medical QA,Sohn et al.,2025,NAACL,https://aclanthology.org/2025.naacl-long.635/,Adjacent,Retrieval|Generation,N/A,High,Medical,sohn2024rag2,
P081,Building a Yoruba RAG System: A Case Study,Adejumobi,2024,AfricaNLP-WS,https://openreview.net/forum?id=ZTt8f8ILOb,Adjacent,Retrieval|Generation,N/A,Low,Cultural,yorubarag2024,
P082,Cross-Lingual Summarization for Low-Resource Languages,Park et al.,2025,Applied Sciences,https://doi.org/10.3390/app15147800,Component,Generation|Evaluation,Language-agnostic,Low,General,murxls2025,
P083,MaGiX: A Multi-Granular Adaptive Graph Intelligence Framework for Enhancing Cross-Lingual RAG,Hieu et al.,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.279/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,hieu2025magix,Added by the June 5 coverage update (candidate C001; discovered under Q1|Q2|Q3).
P084,The Cross-Lingual Cost: Retrieval Biases in RAG over Arabic-English Corpora,Amiraz et al.,2025,ArabicNLP,https://aclanthology.org/2025.arabicnlp-main.6/,Core,Retrieval|Generation,Hybrid,Mixed,Enterprise,amiraz2025cross,Added by the June 5 coverage update (candidate C002; discovered under Q1|Q2|Q3|Q8).
P085,Quality-Aware Translation Tagging in Multilingual RAG system,Moon et al.,2025,MRL-WS@EMNLP,https://aclanthology.org/2025.mrl-main.12/,Core,Retrieval|Generation,Hybrid,Mixed,Open,moon2025quality,Added by the June 5 coverage update (candidate C003; discovered under Q2|Q3|Q8).
P086,On the Consistency of Multilingual Context Utilization in Retrieval-Augmented Generation,Qi et al.,2025,MRL-WS@EMNLP,https://aclanthology.org/2025.mrl-main.15/,Core,Generation|Evaluation,N/A,Mixed,Open,qi2025context,Controlled cross-language context analysis; retrieval quality is held fixed.
P087,ZusammenQA: Data Augmentation with Specialized Models for Cross-lingual Open-retrieval Question Answering System,Hung et al.,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.8/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,hung2022zusammenqa,MIA system paper; shares benchmark data with P044.
P088,Zero-shot cross-lingual open domain question answering,Agarwal et al.,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.9/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,agarwal2022zeroshot,MIA system paper; shares benchmark data with P044.
P089,"MIA 2022 Shared Task Submission: Leveraging Entity Representations, Dense-Sparse Hybrids, and Fusion-in-Decoder for Cross-Lingual Question Answering",Tu & Padmanabhan,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.10/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,tu2022mia,MIA system paper; shares benchmark data with P044.
P090,Cost-Efficient Cross-Lingual Retrieval-Augmented Generation for Low-Resource Languages: A Case Study in Bengali Agricultural Advisory,Hossain et al.,2026,arXiv,https://arxiv.org/abs/2601.02065,Core,Retrieval|Generation,Translate-then-retrieve,Low,Agriculture,hossain2026bengali,Translation-first query processing and Bengali output translation; limited quantitative evaluation.
P091,Agri-Query: A Case Study on RAG vs. Long-Context LLMs for Cross-Lingual Technical Question Answering,Gun & Oksanen,2026,TUM Technical Report,https://arxiv.org/abs/2508.18093,Core,Retrieval|Generation|Evaluation,Language-agnostic,High,Agriculture,gun2026agriquery,English questions are evaluated against English French and German manuals.
P092,M4-RAG: A Massive-Scale Multilingual Multi-Cultural Multimodal RAG,Anugraha et al.,2026,CVPR,https://arxiv.org/abs/2512.05959,Core,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,Cultural,anugraha2026m4rag,Explicit cross-lingual prompt and evidence-language evaluation in multimodal RAG.
P093,Not All Languages are Equal: Insights into Multilingual Retrieval-Augmented Generation,Wu et al.,2025,AAAI,https://arxiv.org/abs/2410.21970,Core,Retrieval|Generation|Evaluation,N/A,Mixed,Open,wu2025notall,Futurepedia includes cross-lingual knowledge-transfer and multilingual selection tasks.
P094,Linguistic Nepotism: Trading-off Quality for Language Preference in Multilingual RAG,Ki et al.,2025,arXiv,https://arxiv.org/abs/2509.13930,Core,Generation|Evaluation,N/A,Mixed,Open,ki2025linguistic,Controlled multilingual evidence and citation-language analysis with retrieval held fixed.
P095,DaPT: A Dual-Path Framework for Multilingual Multi-hop Question Answering,Wang et al.,2026,ICASSP,https://arxiv.org/abs/2603.19097,Core,Retrieval|Generation,Hybrid,Mixed,Open,wang2026dapt,Parallel source-language and English query paths with bilingual retrieval and answering.
P096,Improving Multilingual Retrieval-Augmented Language Models through Dialectic Reasoning Argumentations,Ranaldi et al.,2025,EMNLP,https://aclanthology.org/2025.emnlp-main.461/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,ranaldi2025drag,D-RAG reasons over multilingual retrieved documents and preserves query-language output constraints.
P097,Fanar-Sadiq: A Multi-Agent Architecture for Grounded Islamic QA,Abbas et al.,2026,arXiv,https://arxiv.org/abs/2603.08501,Adjacent,Retrieval|Generation,N/A,Mixed,Religious,abbas2026fanarsadiq,Bilingual Arabic-English system but no required query-evidence language mismatch is established.
P098,Automated Evidence Extraction and Scoring for Corporate Climate Policy Engagement: A Multilingual RAG Approach,Kolli et al.,2025,arXiv,https://arxiv.org/abs/2509.08907,Adjacent,Retrieval|Generation,N/A,Mixed,Climate,kolli2025climate,Direct multilingual RAG evidence extraction without a required within-instance language mismatch.
P099,Bridging the Language Gap: Dynamic Learning Strategies for Improving Multilingual Performance in LLMs,Kumar et al.,2025,COLING,https://aclanthology.org/2025.coling-main.619/,Adjacent,Retrieval|Generation,N/A,Mixed,Open,kumar2025bridging,Evaluates same-language multilingual RAG configurations without an attributable cross-language runtime strategy.
P100,XProvence: Zero-Cost Multilingual Context Pruning for Retrieval-Augmented Generation,Mohamed et al.,2026,arXiv,https://arxiv.org/abs/2601.18886,Adjacent,Retrieval|Generation,N/A,Mixed,Open,mohamed2026xprovence,End-to-end multilingual RAG pruning study with same-language benchmark configurations and no cross-language runtime strategy.
P101,IRSC: A Zero-shot Evaluation Benchmark for Information Retrieval through Semantic Comprehension in Retrieval-Augmented Generation Scenarios,Lin et al.,2024,arXiv,https://arxiv.org/abs/2409.15763,Component,Retrieval,N/A,Mixed,Open,lin2024irsc,Multilingual retriever benchmark without an end-to-end generation stage.
P102,Cross-Lingual QA as a Stepping Stone for Monolingual Open QA in Icelandic,Snæbjarnarson & Einarsson,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.4/,Core,Retrieval|Generation,Language-agnostic,Low,Open,snaebjarnarson2022cross,Bilingual Icelandic-English open-domain QA with cross-language question-context retrieval. Added by the June 5 terminology-expansion search (candidate C026; discovered under Q9|C4).
P103,Ask Me Anything in Your Native Language,Sorokin et al.,2022,NAACL,https://aclanthology.org/2022.naacl-main.30/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,sorokin2022ask,Single multilingual retriever and cross-lingual generative reader evaluated on XOR-TyDi. Added by the June 5 terminology-expansion search (candidate C027; discovered under Q9|C4).
P104,Cross-Lingual Open-Domain Question Answering with Answer Sentence Generation,Muller et al.,2022,AACL-IJCNLP,https://aclanthology.org/2022.aacl-main.27/,Core,Retrieval|Generation,Hybrid,Mixed,Open,muller2022crossgenqa,Generates full-sentence answers from passages that may differ in language from the question. Added by the June 5 terminology-expansion search (candidate C028; discovered under Q9|Q10|C4).
P105,Addressing Issues of Cross-Linguality in Open-Retrieval Question Answering Systems For Emergent Domains,Albalak et al.,2023,EACL-Demos,https://aclanthology.org/2023.eacl-demo.1/,Core,Retrieval|Generation,Language-agnostic,Mixed,Medical,albalak2023emergent,Cross-lingual COVID-19 retrieval and reading with translated presentation of retrieved answers. Added by the June 5 terminology-expansion search (candidate C029; discovered under Q9|Q10|C4).
P106,Pre-training Cross-lingual Open Domain Question Answering with Large-scale Synthetic Supervision,Jiang et al.,2024,EMNLP,https://aclanthology.org/2024.emnlp-main.770/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,jiang2024class,CLASS jointly performs cross-lingual retrieval and answer generation in the query language. Added by the June 5 terminology-expansion search (candidate C030; discovered under Q9|Q10|C4).
P107,Few-Shot Multilingual Open-Domain QA from Five Examples,Jiang et al.,2025,TACL,https://aclanthology.org/2025.tacl-1.24/,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,jiang2025fsmodqa,FsModQA evaluates end-to-end multilingual QA with both cross-lingual and monolingual retrieval. Added by the June 5 terminology-expansion search (candidate C031; discovered under Q9|Q10|C4).
P108,EduX-RAG: Retrieval Augmented Generation Framework for Cross-Lingual Educational Chatbots,Medina et al.,2025,FLLM,https://doi.org/10.1109/FLLM67465.2025.11390969,Core,Retrieval|Generation|Evaluation,N/A,Mixed,Education,medina2025eduxrag,Queries and educational materials may differ in language; the system combines translation multilingual embeddings and response-language control. Added by the June 5 terminology-expansion search (candidate C032; discovered under Q11|C4).
P109,VLR-Bench: Multilingual Benchmark Dataset for Vision-Language Retrieval Augmented Generation,Lim et al.,2025,COLING,https://aclanthology.org/2025.coling-main.411/,Adjacent,Generation|Evaluation,N/A,High,Open,lim2025vlrbench,Multilingual vision-language RAG benchmark evaluated in native same-language configurations. Added by the June 5 terminology-expansion search (candidate C033; discovered under Q12|C4).
P110,A Comprehensive Evaluation of Embedding Models and LLMs for IR and QA Across English and Italian,Oro et al.,2025,Big Data and Cognitive Computing,https://doi.org/10.3390/bdcc9050141,Core,Retrieval|Generation|Evaluation,Language-agnostic,High,Open,oro2025evaluation,English documents with Italian queries create an explicit cross-lingual RAG condition; the study also evaluates retrieval groundedness and answer relevance.
P111,A multi-granularity semantic space learning approach for cross-lingual open domain question answering,Li et al.,2021,World Wide Web,https://doi.org/10.1007/s11280-021-00879-2,Core,Retrieval|Generation,Language-agnostic,High,Open,li2021multigranularity,Unified multilingual-BERT retrieval and answer extraction are evaluated on cross-lingual open-QA datasets without runtime translation.
P112,Benchmarking Open-Source Large Language Models on Code-Switched Tagalog-English Retrieval Augmented Generation,Adoptante et al.,2025,Journal of Advances in Information Technology,https://doi.org/10.12720/jait.16.2.233-242,Core,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,Open,adoptante2025codeswitched,English Tagalog and Taglish queries are paired with source documents independently of document language and evaluated with retrieval and grounding metrics.
P113,CLOR-QA: Cross-Lingual Open-Retrieval Question Answering Model with Dynamic Database Integration,Khetarpaul et al.,2025,iiWAS,https://doi.org/10.1007/978-3-031-78090-5_2,Core,Retrieval|Generation,N/A,Mixed,Open,khetarpaul2025clorqa,The system retrieves data in languages different from the query and combines Helsinki-NLP translation with language-specific BERT QA models.
