"paper_id","citation_key","new_scope","decision_basis","confidence"
"P070","wan2022unite","Component","Machine-translation evaluation metric","high"
"P071","chung2026crosslingual","Component","Cross-lingual judge stability outside RAG","high"
"P072","ahuja2023mega","Component","General multilingual generative-AI evaluation","high"
"P073","sheth2026crosslingual","Component","Cross-lingual judge transfer outside RAG","high"
"P074","xlinghealth2024","Component","Cross-lingual healthcare LLM evaluation without retrieval","high"
"P075","kabir2025legalrag","Adjacent","Bilingual legal RAG; abstract does not establish required query-evidence language mismatch","medium"
"P076","li2025lexrag","Adjacent","Domain RAG benchmark without a demonstrated cross-lingual condition","high"
"P077","alonso2024medexpqa","Core","Non-English medical questions are answered with evidence retrieved directly from the English MedCorp collection","medium"
"P078","qiu2024mmedllama","Component","Multilingual medical language model without RAG","high"
"P079","multiophthalingua2024","Component","Multilingual medical QA benchmark without retrieval","high"
"P080","sohn2024rag2","Adjacent","Domain RAG method without multilingual or cross-lingual transfer","high"
"P081","yorubarag2024","Adjacent","Low-resource Yoruba RAG case study without demonstrated intra-instance language mismatch","medium"
"P082","murxls2025","Component","Cross-lingual summarization outside RAG","high"
"P083","hieu2025magix","Core","English-Vietnamese graph RAG requires cross-lingual retrieval and grounded answer generation","high"
"P084","amiraz2025cross","Core","Arabic-English enterprise benchmarks include every query-document language combination and evaluate end-to-end RAG","high"
"P085","moon2025quality","Core","QTT-RAG retrieves English evidence and translates it for generation in another query language","high"
"P086","qi2025context","Core","Directly evaluates answer generation and language control when supplied evidence differs from the query language","high"
"P087","hung2022zusammenqa","Core","Complete MIA cross-lingual open-retrieval QA system; distinct system paper sharing the P044 benchmark","high"
"P088","agarwal2022zeroshot","Core","Complete MIA cross-lingual open-domain QA system; distinct system paper sharing the P044 benchmark","high"
"P089","tu2022mia","Core","Complete MIA cross-lingual open-retrieval QA system; distinct system paper sharing the P044 benchmark","high"
"P090","hossain2026bengali","Core","Bengali queries are translated for retrieval over English manuals and answers are returned in Bengali","medium"
"P091","gun2026agriquery","Core","English questions are answered from French and German technical manuals in an explicit cross-lingual RAG evaluation","high"
"P092","anugraha2026m4rag","Core","Multimodal RAG benchmark explicitly varies query and retrieved-context languages within an inference instance","high"
"P093","wu2025notall","Core","Futurepedia directly benchmarks cross-lingual knowledge transfer with documents and QA pairs in different languages","high"
"P094","ki2025linguistic","Core","Controlled multilingual RAG study directly varies query and evidence languages and measures citation behavior","high"
"P095","wang2026dapt","Core","DaPT uses source-language and English query paths with bilingual retrieval and answer generation","high"
"P096","ranaldi2025drag","Core","D-RAG retrieves multilingual evidence and generates answers under query-language constraints","high"
"P097","abbas2026fanarsadiq","Adjacent","Bilingual Arabic-English RAG system, but reported experiments do not require a query-evidence language mismatch","medium"
"P098","kolli2025climate","Adjacent","Direct multilingual corporate-document RAG study without an explicit within-instance language mismatch","medium"
"P099","kumar2025bridging","Adjacent","Evaluates multilingual RAG and translation strategies, but the reported retrieval setup is not necessarily cross-lingual per instance","medium"
"P100","mohamed2026xprovence","Adjacent","End-to-end multilingual context-pruning study whose benchmark configurations do not require cross-language evidence","medium"
"P101","lin2024irsc","Component","Multilingual embedding and retrieval benchmark without an end-to-end RAG generation stage","high"
"P102","snaebjarnarson2022cross","Core","Icelandic questions are matched to English contexts in an end-to-end bilingual open-domain QA system","high"
"P103","sorokin2022ask","Core","End-to-end XOR-TyDi system combines multilingual retrieval with a cross-lingual generative reader","high"
"P104","muller2022crossgenqa","Core","Generative open-domain QA explicitly answers from passages written in languages different from the question","high"
"P105","albalak2023emergent","Core","COVID-19 system retrieves and extracts answers across languages and translates non-English results for presentation","high"
"P106","jiang2024class","Core","CLASS jointly trains cross-lingual retrieval and query-language answer generation","high"
"P107","jiang2025fsmodqa","Core","FsModQA reports end-to-end multilingual QA with explicit cross-lingual retrieval conditions","high"
"P108","medina2025eduxrag","Core","Educational chatbot retrieves materials across query-content language mismatches and controls response language","high"
"P109","lim2025vlrbench","Adjacent","Multilingual vision-language RAG benchmark uses language-specific configurations without a required within-instance mismatch","medium"
"P110","oro2025evaluation","Core","NarrativeQA-Cross-Lingual keeps documents in English while translating question-answer pairs into Italian within an end-to-end RAG evaluation","high"
"P111","li2021multigranularity","Core","The proposed system jointly performs cross-lingual document retrieval and answer extraction without an additional runtime transformation","high"
"P112","adoptante2025codeswitched","Core","English Tagalog and Taglish query groups are evaluated irrespective of the source-document language in an end-to-end RAG pipeline","high"
"P113","khetarpaul2025clorqa","Core","CLOR-QA explicitly retrieves multilingual data in languages different from the query and returns answers through an integrated QA system","high"
"P115","xu2025m3rag","Core","M3-RAG combines multilingual text retrieval cross-lingual image retrieval and language-conditioned generation across 12 languages","medium"
"P116","yarrabelly2025mia","Core","The MIA system reranks passages that may be in a different language from the question before multilingual answer generation","high"
"P117","liang2025ramcg","Core","RAMCG retrieves cross-lingual evidence from a multilingual knowledge base and uses it for multilingual citation generation","high"
